[ID],[BallNo],[Comment],[Page URL]
"62","7.6","Dilshan to Taylor, 1 run, Root stays in his crease and punches towards long on for a single, Dilshan tries to run to his right to stop it but the non striker is in his way, he wouldn't have got to it anyway","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"63","Thisara Perera into the attack","Thisara Perera into the attack","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"64","8.1","NLTC Perera to Taylor, 2 runs, starts by offering up some width, Taylor square drives into the ground and the ball bounces over backward point","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"65","8.2","NLTC Perera to Taylor, 1 wide, that's very, very wide outside off","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"66","8.2","NLTC Perera to Taylor, no run, width, again, but Taylor misses out as he only connects with fresh air while trying to play it square through the off side","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"67","8.3","NLTC Perera to Taylor, no run, excellent fielding, Thirimanne at short cover, to cut off a drive by Taylor as he goes after a full, wide delivery","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"68","8.4","NLTC Perera to Taylor, SIX, well, well...that's what we've seen plenty of in domestic cricket. Comes down the pitch, fetches this from outside off and deposits it over deep midwicket with a strong bottom-handed flick","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"69","8.5","NLTC Perera to Taylor, no run, driven up to mid-off","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"70","8.6","NLTC Perera to Taylor, FOUR, dispatches this one, too. It's a short ball from Perera which Taylor pounces on with a rasping pull through square leg","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"71","Another change of bowling. Rangana Herath into the attack. The fifth bowler already. Slip and a short midwicket","Another change of bowling. Rangana Herath into the attack. The fifth bowler already. Slip and a short midwicket","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"72","9.1","Herath to Root, 1 run, slides on with the arm, cut it off the stumps to short third man","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"73","9.2","Herath to Taylor, no run, uses his feet, then defends with bat and pad together","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"74","9.3","Herath to Taylor, no run, that had him in trouble! Grips and takes the outside edge as Taylor was squared up","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"75","9.4","Herath to Taylor, no run, driven back to the bowler","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"76","9.5","Herath to Taylor, 1 run, angled into leg stump, swept strongly out to deep square","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"77","9.6","Herath to Root, no run, defended into the off side","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
